,index,GradCAM_mean,GradATT_mean,ATMAN_mean,chefer_mean,rand_mean,GradCAM_mask,GradATT_mask,ATMAN_mask,chefer_mask,rand_mask,GradCAM_std,GradATT_std,ATMAN_std,chefer_std,rand_std
234,234,0.009085779,0.275789261,0.682789743,0.27094081,0.043096315,0.478271484,0.396962166,0.425048828,0.431825012,0.497945845,0.008211045,0.517566144,1.398323059,0.472839028,0.068671837
235,235,2.121162176,7.093634129,6.98085022,2.244916201,7.756556988,0.558105469,0.421197861,0.470947266,0.584105551,0.503696144,2.185971498,0.847833037,4.101585865,2.145457268,3.462833643
236,236,1.673853278,1.840865731,0.287965685,0.701582015,2.395888805,0.318115234,0.269190937,0.536132813,0.323785126,0.49754265,0.731465101,2.245680571,0.179724127,0.980108559,1.410242438
237,237,4.66222477,4.758718014,5.090567112,5.212476254,4.108259201,0.340332031,0.341562659,0.685058594,0.347136945,0.502241135,0.658062041,1.603744626,1.675790071,1.456300497,2.348124981
238,238,4.362345695,4.191907406,2.756798983,4.196660042,2.941175461,0.325927734,0.404973716,0.413574219,0.396222204,0.500785708,2.169182062,1.322932363,2.083422661,2.088799715,2.800038576
239,239,4.558580875,3.560633421,2.11163187,1.340354323,0.752928555,0.295166016,0.270227283,0.505371094,0.280329853,0.495214969,3.097098589,2.872805834,2.176198959,1.728624463,0.433474332
240,240,0.490449876,0.57082206,3.88987422,0.438469738,1.394345164,0.273925781,0.294127017,0.72265625,0.38058573,0.508593559,0.027120544,0.319932669,1.377872944,0.08641132,2.494924068
241,241,0.586798191,1.006853938,0.692916811,0.593441606,0.392816305,0.498535156,0.47064805,0.342285156,0.485153735,0.505157769,0.670694411,0.967127502,1.376037955,0.465387195,0.289809227
242,242,0.050367158,0.038805377,0.13934353,0.614688635,0.024572928,0.598144531,0.557355106,0.625976563,0.546648324,0.506478906,0.049864504,0.0308669,0.219275951,1.358059645,0.026909927
243,243,3.019556999,3.343128681,1.58400476,2.545566559,3.231660604,0.628417969,0.557121933,0.588867188,0.581489921,0.49480918,1.645356417,1.240456223,0.775391281,1.21953249,1.361263514
244,244,1.464664102,0.59534359,0.729564011,2.070465565,1.990335464,0.151611328,0.20964475,0.6640625,0.322741479,0.496323019,1.252377272,0.113588355,0.415486455,2.002813578,1.300652266
245,245,1.816179156,3.354067326,2.670015812,1.991357446,1.448999763,0.267578125,0.21255891,0.443847656,0.403039128,0.500407875,1.184682488,2.939507246,2.555243969,1.31976366,1.70533371
246,246,2.360379934,2.889839888,0.954026818,1.16959846,1.157417178,0.341552734,0.311567545,0.434570313,0.440176517,0.499679506,0.882693946,1.674368978,0.436522335,0.302500427,0.252236366
